fichier,nom,categorie_jumia,poubelle_attendue
images_jumia/01.jpg,Smartphone,telephones-tablettes,gris
images_jumia/02.jpg,Imprimante Canon,informatique,gris
images_jumia/03.jpg,Réfrigérateur à deux portes,electromenager,gris
images_jumia/04.jpg,Pompe électrique pour bonbonne d'eau,electromenager,gris
images_jumia/05.jpg,Ensemble de gourdes réutilisables en plastique,,marron
images_jumia/06.jpg,Kit de coiffure en plastique avec brosse et pulvérisateurs,,marron
images_jumia/07.jpg,Verre à boire,,marron
images_jumia/08.jpg,Coffre en forme de livre en papier acier et plastique,,marron
images_jumia/09.jpg,Chargeur secteur USB avec câble,informatique,gris
images_jumia/10.jpg,Canette de boisson en aluminium,,jaune
